"grid.ids","date","etr","pet","pr","rmax","rmin","sph","srad","th","tmax","tmin","vpd","vs"
299111,2020-01-01,3.1,1.9,0,58.6,40.2,0.00245,92.1,274,5.95,0.15,0.39,6.6
299111,2020-01-02,2.9,1.8,2.8,65.3,37.5,0.00287,94.3,199,9.15,0.85,0.45,4.6
299111,2020-01-03,1,0.7,6.4,87.7,68.2,0.00505,31.7,200,9.35,4.65,0.21,2
299111,2020-01-04,2,1.3,0.6,100,51.1,0.00459,43.4,299,11.95,-0.65,0.26,5.6
299111,2020-01-05,2.4,1.5,0,67.3,49.3,0.00262,82.9,286,4.25,-0.85,0.29,6.7
299111,2020-01-06,3.1,1.9,0,70.6,40.6,0.00271,98.2,271,7.25,-1.05,0.36,7.7
299111,2020-01-07,1.6,1,3.8,71.1,47.3,0.00222,82.6,242,2.45,-3.85,0.24,3.5
299111,2020-01-08,2.3,1.4,0,92.4,38.2,0.00183,68.6,285,2.45,-9.85,0.22,9
299111,2020-01-09,2.2,1.3,0,71.5,33.8,0.00147,96.4,162,0.95,-9.35,0.25,6.1
299111,2020-01-10,2.6,1.6,1.2,95.9,43.6,0.00374,33.4,182,11.05,-0.85,0.35,5.6
299111,2020-01-11,3.6,2.2,12.1,100,49.2,0.00711,72.7,182,19.25,6.15,0.46,7.8
299111,2020-01-12,1.2,0.8,0,100,63.1,0.00519,97.7,254,10.85,-0.45,0.12,6.6
299111,2020-01-13,1.2,0.8,0,100,59.7,0.00408,101.6,225,8.05,-0.85,0.18,3.4
299111,2020-01-14,0.8,0.6,0.7,100,75.9,0.00445,79.4,194,6.05,0.55,0.08,4.6
299111,2020-01-15,2.9,1.8,0.8,86.7,40.2,0.00379,108.5,214,12.35,0.75,0.44,4.7
299111,2020-01-16,1.9,1.2,0.7,100,50.9,0.00298,79.5,303,5.65,-5.85,0.18,9.8
299111,2020-01-17,2.5,1.5,0,45.7,30.1,0.00118,114.5,343,-0.65,-6.35,0.3,5.7
299111,2020-01-18,1.9,1.2,13.5,85.7,51.7,0.00236,40.5,179,2.15,-5.55,0.19,8.5
299111,2020-01-19,2.3,1.5,0,90,41.9,0.00218,59.8,289,3.75,-7.25,0.23,8.8
299111,2020-01-20,1.4,0.9,0,79.8,47.9,0.00158,100,330,-2.35,-9.85,0.15,5.7
299111,2020-01-21,1.4,0.9,0,90.6,41.8,0.00174,114.9,309,0.65,-10.25,0.19,3.6
299111,2020-01-22,1.2,0.8,0,99.9,43.1,0.00198,120.2,219,2.05,-9.85,0.19,2.5
299111,2020-01-23,1.3,0.9,0,81.9,52.5,0.00234,112.4,157,1.85,-5.05,0.19,3.1
299111,2020-01-24,1.6,1,20.9,95.6,57.9,0.00322,90.5,126,5.05,-2.85,0.18,6
299111,2020-01-25,2,1.3,1.7,77.9,52.6,0.00353,39,172,7.65,1.25,0.3,4.1
299111,2020-01-26,2,1.3,0,67.3,61.2,0.00307,64.6,264,3.65,1.35,0.25,5.6
299111,2020-01-27,2.2,1.4,0,68,59.1,0.00308,42.1,290,4.15,1.25,0.26,6
299111,2020-01-28,2,1.3,0,72,56.9,0.00295,95.7,313,4.05,-0.15,0.24,5.6
299111,2020-01-29,1.2,0.8,0,99.4,54.3,0.00256,123.5,348,2.65,-6.45,0.15,3.6
299111,2020-01-30,1.8,1.2,0,76.5,40.9,0.00212,118.8,144,3.65,-5.45,0.27,3.4
299111,2020-01-31,1.5,1,0,67.9,59.4,0.00282,80.5,171,2.85,0.05,0.24,3.1
299111,2020-02-01,1.1,0.8,1.2,84.6,67.3,0.00362,55,223,4.65,0.55,0.17,2.7
299111,2020-02-02,3.7,2.3,0.6,81.8,38.2,0.0035,49.4,268,11.75,0.55,0.45,7
299111,2020-02-03,5.7,3.5,0,62.7,25.6,0.00398,127.2,262,19.15,6.25,0.96,5.2
299111,2020-02-04,2.6,1.7,1.5,100,43.8,0.00545,48.2,283,16.65,0.95,0.41,4.3
299111,2020-02-05,2.2,1.4,0.8,70.8,54.6,0.00298,59.1,64,4.65,0.35,0.27,5.6
299111,2020-02-06,1,0.7,12.5,91.9,78.3,0.00435,59.6,151,5.25,1.95,0.11,4.4
299111,2020-02-07,1.6,1,6,91.1,61.9,0.00314,43.4,290,3.75,-2.45,0.16,8
299111,2020-02-08,2.7,1.7,3.1,61.1,35.4,0.00225,81.3,254,6.25,-1.45,0.4,4
299111,2020-02-09,2.5,1.7,6.4,66.1,46.2,0.0028,93.3,188,5.95,0.45,0.34,4.7
299111,2020-02-10,2.2,1.4,1.1,70.6,55.5,0.00383,41.5,203,8.05,3.95,0.34,4
299111,2020-02-11,2.2,1.4,0,88.8,51.1,0.00375,55.8,294,8.85,0.35,0.29,4.7
299111,2020-02-12,2.5,1.7,10.8,65.7,47.3,0.00278,127.2,201,5.55,0.45,0.33,4.7
299111,2020-02-13,1.3,0.9,0.7,100,56.1,0.00361,68.3,275,7.05,-5.55,0.13,6.1
299111,2020-02-14,2.4,1.5,0,73.8,29.4,0.00137,119.9,322,1.55,-10.55,0.26,5.7
299111,2020-02-15,2.1,1.4,0,78.8,30.2,0.00126,147.7,179,0.05,-12.45,0.23,5.2
299111,2020-02-16,2.7,1.7,0,86.3,33.1,0.0027,53.4,244,9.75,-3.75,0.41,3.7
299111,2020-02-17,2.8,1.9,0,79,30,0.00256,148.2,94,10.25,-3.25,0.46,3
299111,2020-02-18,1.9,1.2,3.6,100,55.8,0.00404,39.1,181,8.75,-0.45,0.22,6.7
299111,2020-02-19,2.6,1.7,0,83.2,39.8,0.00238,159.6,305,5.55,-4.95,0.29,5.7
299111,2020-02-20,2,1.3,0,69.3,36.9,0.00148,78.7,322,-0.15,-8.75,0.23,5
299111,2020-02-21,3,2,0,52.3,22.5,0.00119,164.7,298,2.75,-7.85,0.35,5.1
299111,2020-02-22,5.2,3.3,0,47.7,13.7,0.00138,169.5,272,10.55,-4.65,0.64,6.3
299111,2020-02-23,4.8,3.1,0,60.6,15.6,0.0019,168.5,227,13.85,-3.65,0.73,4.3
299111,2020-02-24,4,2.6,0,64.7,25.5,0.00292,156.5,193,14.35,1.35,0.69,3.4
299111,2020-02-25,1.6,1.2,3,79.2,65.9,0.00491,66.1,109,9.35,5.85,0.27,2.3
299111,2020-02-26,1.7,1.3,12.9,100,53.8,0.00552,111.6,164,13.95,-2.45,0.18,4.8
299111,2020-02-27,2.5,1.6,0.8,66,47.8,0.00184,123.7,276,-0.35,-5.25,0.21,12.2
299111,2020-02-28,3.2,2.1,0,59.9,32.5,0.00163,105.6,269,2.75,-5.55,0.32,8.7
299111,2020-02-29,2.9,1.8,0,50.9,38.5,0.00145,93.2,290,-0.55,-4.85,0.28,8.3
299111,2020-03-01,4.2,2.8,0,53.9,21.2,0.00176,174.3,254,9.75,-3.05,0.57,4.6
299111,2020-03-02,5.7,3.7,2.6,72.5,22,0.00337,123.2,206,19.25,1.75,0.93,4.6
299111,2020-03-03,2.5,1.7,9.1,90,58.4,0.00486,86.4,221,11.15,3.85,0.3,5.8
299111,2020-03-04,5.3,3.5,0,82,30.3,0.00319,173,274,13.95,-0.75,0.58,8.4
299111,2020-03-05,3.8,2.6,0,71.3,30.4,0.00277,184.6,196,11.75,-0.75,0.54,3.9
299111,2020-03-06,3.5,2.2,2,75,36.9,0.00283,59.3,312,9.45,-1.15,0.43,6.3
